=== k=3 scaling test ===
Using 28 cores


--- threshold = 6, k = 3 ---
   n      p    (a,b)  max_M  max_agr  n/(t-1)
  36     73 ( 6, 5)      6        6      7.2
  36     73 ( 7, 6)      9        7      7.2
  48     97 ( 6, 5)     17        6      9.6
  48     97 ( 7, 6)     19        7      9.6
  60    181 ( 6, 5)     20        6     12.0
  60    181 ( 7, 6)     30        7     12.0
  72    433 ( 6, 5)     12        6     14.4
  72    433 ( 7, 6)     15        7     14.4

--- threshold = 9, k = 3 ---
   n      p    (a,b)  max_M  max_agr  n/(t-1)
  36     73 ( 9, 8)      4        9      4.5
  36     73 ( 9, 7)      4        9      4.5
  48     97 ( 9, 8)      5        9      6.0
  48     97 ( 9, 7)      0        0      6.0
  60    181 ( 9, 8)      0        0      7.5
  60    181 ( 9, 7)      0        0      7.5
  72    433 ( 9, 8)      8        9      9.0
  72    433 ( 9, 7)      8        9      9.0
