=== Vieta structure analysis: n=36, k=2, threshold=6 ===

     (a,b)  #Vieta p=37_total   p=37_NOT p=73_total   p=73_NOT p=181_total  p=181_NOT
------------------------------------------------------------------------------------------
  ( 6, 2)       3         60         36          6          0           6          0
  ( 6, 3)       3         66          0         66          0          66          0
  ( 6, 4)       3         60         36          6          0          42         36
  ( 6, 5)       3         78         72          6          0           6          0
  ( 7, 2)       4          6          0          6          0           6          0
  ( 7, 3)       4         24          0          6          0           6          0
  ( 7, 4)       4         66          0         66          0          66          0
  ( 7, 5)       4         24          0          6          0           6          0
  ( 7, 6)       4        222        180        438        180        1086        180
  ( 8, 2)       5         60         36          6          0          24          0
  ( 8, 3)       5         36         36          0          0           0          0
  ( 8, 4)       5         36          0         36          0          36          0
  ( 8, 5)       5        144        144         36         36          36         36
  ( 8, 6)       5         18          0          0          0          18          0
  ( 8, 7)       5         72         72          0          0           0          0
  ( 9, 2)       6         40         36          4          0           4          0
  ( 9, 3)       6         76          0         58          0          76          0
  ( 9, 4)       6         40         36         76         72          40         36
  ( 9, 5)       6         40          0         40          0          40          0
  ( 9, 6)       6         88         36         52          0          52          0
  ( 9, 7)       6         22          0          4          0          22          0
  ( 9, 8)       6          4          0          4          0           4          0
  (10, 2)       7         58         36         40         36           4          0
  (10, 3)       7         40         36         40         36           4          0
  (10, 4)       7         76          0         58          0          76          0
  (10, 5)       7         40         36          4          0           4          0
  (10, 6)       7         22          0          4          0          22          0
  (10, 7)       7         52          0         52          0          52          0
  (10, 8)       7         22          0          4          0           4          0
  (10, 9)       7        148        108        292        108         724        108
  (11, 2)       8         40         36          4          0           4          0
  (11, 3)       8        126        108          0          0           0          0
  (11, 4)       8         72         72         36         36           0          0
  (11, 5)       8         24          0          6          0          24          0
  (11, 7)       8         18          0          0          0          18          0
  (11, 8)       8         36         36          0          0           0          0
  (11, 9)       8         18          0          0          0           0          0
  (12, 2)       9          3          0          3          0           3          0
  (12, 3)       9         43          0         43          0          43          0
  (12, 4)       9         30          0         30          0          30          0
  (12, 5)       9         39         36          3          0           3          0
  (12, 6)       9        207          0        423          0        1071          0
  (12, 7)       9        219        144        435        144        1083        144
  (12, 8)       9         30          0         30          0          30          0
  (12, 9)       9         75         36         39          0          39          0
  (12,10)       9          3          0          3          0           3          0
  (12,11)       9          3          0          3          0           3          0

Note: CS is (a,b) = (6,4), #Vieta = 3
Minimum-Vieta cases: (3,2) with 0 conditions, (4,2) or (4,3) with 1 condition
