RS[6,3], w=2, δ=0.3333, δ_J=0.2929
C(n,w) = C(6,2) = 15
Prediction: ε_ca ≈ min(1, 15/q)

     q  max_bad    max/q   avg_bad    avg/q  C(n,w)/q   tested
----------------------------------------------------------------------
     7        7   1.0000      6.67   0.9525    2.1429    10229
    13       13   1.0000     10.04   0.7722    1.1538     7058
    19       14   0.7368     11.37   0.5985    0.7895     5019
    31       15   0.4839     12.65   0.4081    0.4839     3176
    37       15   0.4054     13.02   0.3519    0.4054     2673
    43       15   0.3488     13.28   0.3087    0.3488     2301
    61       15   0.2459     13.77   0.2258    0.2459     1993
    67       15   0.2239     13.87   0.2070    0.2239     1992
    73       15   0.2055     13.96   0.1912    0.2055     1994
    79       15   0.1899     14.07   0.1781    0.1899     1998
    97       15   0.1546     14.23   0.1467    0.1546     1999
   103       15   0.1456     14.25   0.1383    0.1456     1994
   109       15   0.1376     14.30   0.1312    0.1376     1996
   127       15   0.1181     14.37   0.1132    0.1181     1999
   139       15   0.1079     14.43   0.1038    0.1079     1998
   151       15   0.0993     14.49   0.0960    0.0993     2000
   157       15   0.0955     14.49   0.0923    0.0955     1999
   163       15   0.0920     14.53   0.0892    0.0920     1999
   181       15   0.0829     14.59   0.0806    0.0829     2000
   193       15   0.0777     14.57   0.0755    0.0777     1998
   199       15   0.0754     14.58   0.0733    0.0754     1998
   211       15   0.0711     14.64   0.0694    0.0711     1999
   223       15   0.0673     14.66   0.0657    0.0673     2000
   229       15   0.0655     14.62   0.0638    0.0655     2000
   241       15   0.0622     14.64   0.0608    0.0622     2000
   271       15   0.0554     14.73   0.0544    0.0554     2000
   277       15   0.0542     14.72   0.0531    0.0542     2000
   283       15   0.0530     14.73   0.0520    0.0530     2000
   307       15   0.0489     14.74   0.0480    0.0489     2000
   313       15   0.0479     14.75   0.0471    0.0479     2000
