RS[8,4], w=3, C(n,w)=56
     q  max_bad    max/q  C(n,w)/q   tested
--------------------------------------------------
    17       17   1.0000    3.2941     2413
    41       41   1.0000    1.3659     1186
    73       50   0.6849    0.7671      675
    89       51   0.5730    0.6292      558
    97       51   0.5258    0.5773      514
   113       53   0.4690    0.4956      498
   137       54   0.3942    0.4088      499
   193       55   0.2850    0.2902      498
   233       56   0.2403    0.2403      498
   241       56   0.2324    0.2324      500
   257       56   0.2179    0.2179      499
   281       56   0.1993    0.1993      500
